TEI,AI,IPI,TI,TLI,FTI,threshold,value,statechange,feedback,timestamp,attentionValue,activity,level,marker,result_1,result_2
1.739386831986907,75.47893475216758,71.65871211064433,111.90622073052918,1.2289962468928775,-95.10471432049033,147.1419766843132,151.26482118545383,true,false,1671727472452,0,digits,af,submit_answer,3,1
2.115903886962578,77.67321338165381,75.63778194753505,96.98035038123784,0.9755890487475148,-103.02966952130492,148.91989986781758,154.25366941833073,true,false,1671727472632,0,digits,af,submit_answer,3,1
4.455909293549583,84.77329393116618,81.79378045388293,102.45284858816876,0.9957823592433673,-97.8988418368987,151.02594499038435,157.34408035808465,true,false,1671727472871,0,digits,af,submit_answer,3,1
1.6590163649004372,71.7274408815727,78.42077061486377,102.51189178688685,1.0710281528180048,-97.5019296337848,151.37467451977494,152.42086310794667,true,false,1671727473068,0,digits,af,submit_answer,3,1
1.7873333564918839,78.17493515350934,70.49655044822032,95.63367396414834,1.0163080873839607,-99.98767057327771,149.17126147875544,142.56102235569693,false,true,1671727473313,0,digits,af,submit_answer,3,1
2.46862531036126,91.89323231119396,69.26801834286229,104.73934362363109,1.0599601661313032,-95.26993043018882,146.1719592035325,137.17405237786375,true,true,1671727473530,0,digits,af,submit_answer,3,1
2.314896858577309,86.59525582036088,67.32695151749601,110.78543526502351,1.245289733808286,-92.11690155438215,148.07296296674434,153.77597425637987,false,false,1671727473713,0,digits,af,submit_answer,3,1
2.033042545721815,81.89138324725295,72.29818685951474,95.03470769674564,1.039713054893382,-100.42512897861253,151.91473404626748,163.44004728483696,true,false,1671727473922,0,digits,af,submit_answer,3,1
2.0246886729692632,89.01520673998743,68.42257618068182,102.14051841892999,1.128491663897871,-101.63094072487453,151.734440819974,151.1935611410935,false,true,1671727474140,0,digits,af,submit_answer,3,1
4.75748634712071,87.90541864703934,74.69114476000992,107.07375677521392,1.1157596132944394,-98.78127660123971,149.01919235881303,140.87344697533007,true,true,1671727474389,0,digits,af,submit_answer,3,1
1.7712812607874204,65.52525231191939,58.50509351632445,100.88363682607363,1.1136936183897508,-101.60556562844846,141.99996508735262,120.94228327297134,true,true,1671727474562,0,digits,af,submit_answer,3,1
1.3018471278737027,73.69952497212856,50.48871532831306,88.83478781542257,1.045382411672969,-106.96021586983446,134.88284497424337,113.53148463491567,true,true,1671727474800,0,digits,af,submit_answer,3,1
1.4240742471441719,72.16558515528544,66.47657561297308,97.58198585788223,1.0792197348168582,-102.23343569192699,134.1104074111439,131.7930947218456,true,true,1671727475026,0,digits,af,submit_answer,3,1
2.398847982293005,83.70138061556264,63.04188919879839,110.64659937295039,1.151966199221414,-94.18946957989088,134.95101841202927,137.47285141468535,false,false,1671727475240,0,digits,af,submit_answer,3,1
2.3052544591892965,84.35936931001065,66.65986822312729,112.43063095056193,1.3137662971631403,-92.69801792921467,136.33417786059277,140.48365620628323,true,false,1671727475436,0,digits,af,submit_answer,3,1
1.9057022484295876,83.68238074267934,55.60592573556988,95.64240384740201,1.0567549178996736,-101.39865096456603,137.8716675644753,142.48413667612286,true,false,1671727475654,0,digits,af,submit_answer,3,1
1.8231454983980488,76.16676845470144,55.74300117484672,96.50666617072622,1.0336705927879093,-99.5564400922123,140.33016511783867,147.7056577779288,true,false,1671727475895,0,digits,af,submit_answer,3,1
1.7390420140482743,71.71995408730487,63.5126755406006,108.16772825023685,1.1631216860854163,-94.5998513645625,139.15348351688561,135.6234387140264,false,true,1671727476118,0,digits,af,submit_answer,3,1
1.6134637518368211,81.35097397157864,62.85710704127703,100.69878569291909,1.0594296606656919,-100.25110046786482,139.28794518569714,139.69133019213177,false,false,1671727476324,0,digits,af,submit_answer,3,1
2.0296148541144876,88.35535504158231,60.963629091298195,99.69373356893183,1.0891260167942998,-99.57887900517662,135.9941127308438,126.11261536628373,false,true,1671727476496,0,digits,af,submit_answer,3,1
1.622953534299274,73.12403366805137,55.175565459534795,95.63536826914189,1.065200757134137,-102.58619212178212,132.47945648702404,121.93548775556471,true,true,1671727476730,0,digits,af,submit_answer,3,1
1.8640089625905096,82.49980438007454,64.9726912923852,96.5940570535173,1.0807094487353637,-101.27169071986232,131.09541584435672,126.94329391635475,true,true,1671727476921,0,digits,af,submit_answer,3,1
1.4781074623309594,82.75972486143543,71.21643531604614,98.78596848997175,1.10946383565977,-100.46083361633961,130.49262857707106,128.6842667752141,true,true,1671727477131,0,digits,af,submit_answer,3,1
1.579835492929442,77.0359232255096,67.3881524102884,106.23285741665237,1.0948086751212496,-97.06788309022855,126.62074732106345,115.0051035530406,true,true,1671727477370,0,digits,af,submit_answer,3,1
1.7814452446449371,75.77198219594395,72.43126436344863,95.25888678230328,1.0580950852720288,-103.23834229312418,123.58139071685515,114.46332090423027,true,true,1671727477562,0,digits,af,submit_answer,3,1
1.7279050598200176,82.25685774115198,61.06805297350931,99.84784138195249,1.170684395772862,-100.15593126409091,127.42139100915347,138.9413918860484,false,false,1671727477805,0,digits,af,submit_answer,3,1
1.7174439108325186,73.81577579305687,72.52762759918251,89.6799242277752,0.9402341253079903,-104.8284958873198,134.2387939354747,154.6910027144383,true,false,1671727478021,0,digits,af,submit_answer,3,1
1.347286512194443,63.20595381676132,71.567217016767,91.365827062953,0.9625887844498834,-104.48519953759131,137.37225347565047,146.77263209617783,true,false,1671727478214,0,digits,af,submit_answer,3,1
1.782729557304082,79.45121653509129,79.61462863437261,95.98102180043134,0.9703458104982844,-99.84919922078493,141.10836017373418,152.31668026798536,true,false,1671727478423,0,digits,af,submit_answer,3,1
